"Name","Runtime","Notes","Tags","growing_jump","target_state","loss","loss0","step","total_seconds"
"hearty-paper-1269","82","-","","10","sconf_image(""final/f16.png"")","0.008795293979346752","0.008795293979346752","1352","79.47699999809265"
"visionary-puddle-1268","63","-","","10","sconf_image(""final/f15.png"")","0.009220036678016186","0.009220036678016186","975","61.11999750137329"
"clear-wave-1267","115","-","","10","sconf_image(""final/corrosion.png"")","0.00971749797463417","0.00971749797463417","1588","112.7619993686676"
"solar-voice-1266","108","-","","10","sconf_image(""final/cathedral.png"")","0.009983818046748638","0.009983818046748638","1557","106.3680009841919"
"effortless-fog-1265","83","-","","10","sconf_image(""final/bonito.png"")","0.009764413349330424","0.009764413349330424","1254","80.48299741744995"
"young-snowflake-1264","124","-","","10","sconf_image(""final/boat.png"")","0.009848903864622116","0.009848903864622116","1777","121.74899864196776"
"electric-water-1263","123","-","","10","sconf_image(""final/bear.png"")","0.0098587553948164","0.0098587553948164","1810","120.63100218772888"
"serene-morning-1262","59","-","","10","sconf_image(""final/beach.png"")","0.009921044111251833","0.009921044111251833","999","57.02799725532532"
"valiant-planet-1261","124","-","","10","sconf_image(""final/baboon.png"")","0.009933962486684322","0.009933962486684322","1870","121.70799589157104"
"lyric-tree-1260","205","-","","10","sconf_image(""final/arctic.png"")","0.009973954409360886","0.009973954409360886","2713","202.42099785804749"
"fragrant-wildflower-1259","102","-","","10","sconf_image(""final/arch.png"")","0.00930976029485464","0.00930976029485464","1547","100.17900013923644"
"sunny-dust-1258","150","-","","0","sconf_image(""final/wildflowers.png"")","0.008729754947125912","0.008729754947125912","1555","148.07999897003174"
"crisp-shape-1257","106","-","","0","sconf_image(""final/waterfall.png"")","0.009935405105352402","0.009935405105352402","1091","103.91798901557922"
"icy-pine-1256","96","-","","0","sconf_image(""final/water.png"")","0.009778112173080444","0.009778112173080444","982","93.93099927902222"
