"Name","total_seconds","target_state","growing_jump","edge_strategy"
"honest-field-2590","69.50299167633057","sconf_image(""hard/arch.png"")","6","EdgeStrategy.TF_SAME"
"firm-universe-2589","107.34501004219057","sconf_image(""hard/arch.png"")","6","EdgeStrategy.MIRROR"
"sage-wind-2588","78.94800043106079","sconf_image(""hard/arch.png"")","5","EdgeStrategy.TF_SAME"
"snowy-vortex-2587","119.00799894332886","sconf_image(""hard/arch.png"")","5","EdgeStrategy.MIRROR"
"restful-cosmos-2586","83.5169985294342","sconf_image(""hard/arch.png"")","4","EdgeStrategy.TF_SAME"
"radiant-resonance-2585","100.05099940299988","sconf_image(""hard/arch.png"")","4","EdgeStrategy.MIRROR"
"sleek-cosmos-2584","81.05899953842163","sconf_image(""hard/arch.png"")","3","EdgeStrategy.TF_SAME"
"stellar-leaf-2583","125.15299892425536","sconf_image(""hard/arch.png"")","3","EdgeStrategy.MIRROR"
"amber-river-2582","91.8660008907318","sconf_image(""hard/arch.png"")","2","EdgeStrategy.TF_SAME"
"atomic-silence-2581","123.2500011920929","sconf_image(""hard/arch.png"")","2","EdgeStrategy.MIRROR"
"honest-breeze-2580","105.58356595039368","sconf_image(""hard/arch.png"")","1","EdgeStrategy.TF_SAME"
"worldly-microwave-2579","138.0869505405426","sconf_image(""hard/arch.png"")","1","EdgeStrategy.MIRROR"
"pious-cloud-2578","83.87200284004211","sconf_image(""hard/arch.png"")","0","EdgeStrategy.TF_SAME"
"sweet-wind-2577","86.38500165939331","sconf_image(""hard/arch.png"")","0","EdgeStrategy.MIRROR"
"wobbly-water-2576","42.57000017166138","sconf_image(""hard/water.png"")","14","EdgeStrategy.TF_SAME"
"genial-meadow-2575","51.91099762916565","sconf_image(""hard/water.png"")","14","EdgeStrategy.MIRROR"
"wobbly-shape-2574","51.46900129318237","sconf_image(""hard/water.png"")","13","EdgeStrategy.TF_SAME"
"icy-flower-2573","78.1550018787384","sconf_image(""hard/water.png"")","13","EdgeStrategy.MIRROR"
"solar-smoke-2572","50.45699977874756","sconf_image(""hard/water.png"")","12","EdgeStrategy.TF_SAME"
"skilled-star-2571","75.38600063323975","sconf_image(""hard/water.png"")","12","EdgeStrategy.MIRROR"
"major-planet-2570","46.58900165557861","sconf_image(""hard/water.png"")","11","EdgeStrategy.TF_SAME"
"whole-planet-2569","77.36899709701538","sconf_image(""hard/water.png"")","11","EdgeStrategy.MIRROR"
"comic-universe-2568","46.83499813079834","sconf_image(""hard/water.png"")","10","EdgeStrategy.TF_SAME"
"lively-elevator-2567","66.76699781417847","sconf_image(""hard/water.png"")","10","EdgeStrategy.MIRROR"
"serene-lake-2566","56.025999307632446","sconf_image(""hard/water.png"")","9","EdgeStrategy.TF_SAME"
"resilient-sun-2565","73.26499795913696","sconf_image(""hard/water.png"")","9","EdgeStrategy.MIRROR"
"colorful-salad-2564","54.30699872970581","sconf_image(""hard/water.png"")","8","EdgeStrategy.TF_SAME"
"devoted-wood-2563","67.528000831604","sconf_image(""hard/water.png"")","8","EdgeStrategy.MIRROR"
"proud-jazz-2562","42.78699970245361","sconf_image(""hard/water.png"")","7","EdgeStrategy.TF_SAME"
"fresh-snowflake-2561","61.151715993881226","sconf_image(""hard/water.png"")","7","EdgeStrategy.MIRROR"
"rural-eon-2560","49.84699892997742","sconf_image(""hard/water.png"")","6","EdgeStrategy.TF_SAME"
"kind-yogurt-2559","75.25499892234802","sconf_image(""hard/water.png"")","6","EdgeStrategy.MIRROR"
"vibrant-sea-2558","60.76399993896485","sconf_image(""hard/water.png"")","5","EdgeStrategy.TF_SAME"
"absurd-shadow-2557","83.07099795341492","sconf_image(""hard/water.png"")","5","EdgeStrategy.MIRROR"
"classic-dawn-2556","63.483999252319336","sconf_image(""hard/water.png"")","4","EdgeStrategy.TF_SAME"
"summer-gorge-2555","79.66153073310852","sconf_image(""hard/water.png"")","4","EdgeStrategy.MIRROR"
"vocal-pyramid-2554","48.05499577522278","sconf_image(""hard/water.png"")","3","EdgeStrategy.TF_SAME"
"fanciful-violet-2553","74.9900004863739","sconf_image(""hard/water.png"")","3","EdgeStrategy.MIRROR"
"denim-firebrand-2552","58.27599740028381","sconf_image(""hard/water.png"")","2","EdgeStrategy.TF_SAME"
"young-glade-2551","80.72997808456421","sconf_image(""hard/water.png"")","2","EdgeStrategy.MIRROR"
"fresh-voice-2550","68.46835947036743","sconf_image(""hard/water.png"")","1","EdgeStrategy.TF_SAME"
"wandering-paper-2549","82.90535426139832","sconf_image(""hard/water.png"")","1","EdgeStrategy.MIRROR"
"trim-morning-2548","46.64000201225281","sconf_image(""hard/water.png"")","0","EdgeStrategy.TF_SAME"
"hearty-vortex-2547","81.67299890518188","sconf_image(""hard/water.png"")","0","EdgeStrategy.MIRROR"
"distinctive-thunder-2546","69.83900022506714","sconf_image(""hard/rose.png"")","14","EdgeStrategy.TF_SAME"
"gentle-thunder-2545","84.1042492389679","sconf_image(""hard/rose.png"")","14","EdgeStrategy.MIRROR"
"crisp-grass-2544","64.58500075340271","sconf_image(""hard/rose.png"")","13","EdgeStrategy.TF_SAME"
"rural-grass-2543","101.79500150680542","sconf_image(""hard/rose.png"")","13","EdgeStrategy.MIRROR"
"autumn-snow-2542","75.33599519729614","sconf_image(""hard/rose.png"")","12","EdgeStrategy.TF_SAME"
"expert-star-2541","100.78999924659728","sconf_image(""hard/rose.png"")","12","EdgeStrategy.MIRROR"
"hopeful-dust-2540","87.48499321937561","sconf_image(""hard/rose.png"")","11","EdgeStrategy.TF_SAME"
"dashing-fog-2539","99.37899947166444","sconf_image(""hard/rose.png"")","11","EdgeStrategy.MIRROR"
"misunderstood-totem-2538","67.8939995765686","sconf_image(""hard/rose.png"")","10","EdgeStrategy.TF_SAME"
"earnest-puddle-2537","95.25399899482728","sconf_image(""hard/rose.png"")","10","EdgeStrategy.MIRROR"
"vivid-brook-2536","56.04899883270264","sconf_image(""hard/rose.png"")","9","EdgeStrategy.TF_SAME"
"unique-planet-2535","79.47212600708008","sconf_image(""hard/rose.png"")","9","EdgeStrategy.MIRROR"
"pretty-sunset-2534","75.82699871063232","sconf_image(""hard/rose.png"")","8","EdgeStrategy.TF_SAME"
"misunderstood-shape-2533","87.5479998588562","sconf_image(""hard/rose.png"")","8","EdgeStrategy.MIRROR"
"azure-darkness-2532","65.44199752807617","sconf_image(""hard/rose.png"")","7","EdgeStrategy.TF_SAME"
"fearless-hill-2531","75.48300266265869","sconf_image(""hard/rose.png"")","7","EdgeStrategy.MIRROR"
"absurd-rain-2530","79.9169991016388","sconf_image(""hard/rose.png"")","6","EdgeStrategy.TF_SAME"
"silver-feather-2529","102.30199909210204","sconf_image(""hard/rose.png"")","6","EdgeStrategy.MIRROR"
"golden-paper-2528","78.69499802589417","sconf_image(""hard/rose.png"")","5","EdgeStrategy.TF_SAME"
"crimson-shape-2527","90.66698884963988","sconf_image(""hard/rose.png"")","5","EdgeStrategy.MIRROR"
"rosy-glade-2526","76.55599975585938","sconf_image(""hard/rose.png"")","4","EdgeStrategy.TF_SAME"
"twilight-lake-2525","102.35999727249146","sconf_image(""hard/rose.png"")","4","EdgeStrategy.MIRROR"
"faithful-gorge-2524","88.83142495155334","sconf_image(""hard/rose.png"")","3","EdgeStrategy.TF_SAME"
"cool-elevator-2523","90.97330260276794","sconf_image(""hard/rose.png"")","3","EdgeStrategy.MIRROR"
"driven-cherry-2522","97.9810037612915","sconf_image(""hard/rose.png"")","2","EdgeStrategy.TF_SAME"
"super-river-2521","121.29735922813416","sconf_image(""hard/rose.png"")","2","EdgeStrategy.MIRROR"
"lively-waterfall-2520","94.26100087165833","sconf_image(""hard/rose.png"")","1","EdgeStrategy.TF_SAME"
