"Name","target_state","total_seconds"
"different-music-4183","sconf_imagestack(""hard/pills.png"", ""hard/water.png"")","445.0079975128174"
"honest-energy-4182","sconf_imagestack(""hard/pills.png"", ""hard/rose.png"")","365.0720007419586"
"volcanic-donkey-4181","sconf_imagestack(""hard/pills.png"", ""hard/pills.png"")","480.24999713897705"
"fragrant-valley-4180","sconf_imagestack(""hard/pills.png"", ""hard/peppers.png"")","354.9849956035614"
"mild-field-4179","sconf_imagestack(""hard/pills.png"", ""hard/lena.png"")","307.60300040245056"
"icy-hill-4178","sconf_imagestack(""hard/pills.png"", ""hard/arch.png"")","368.94699573516846"
"worldly-dawn-4177","sconf_image(""hard/pills.png"")","162.8759982585907"
"royal-field-4176","sconf_imagestack(""hard/peppers.png"", ""hard/water.png"")","297.67599987983704"
"woven-sound-4175","sconf_imagestack(""hard/peppers.png"", ""hard/rose.png"")","306.04599952697754"
"effortless-planet-4174","sconf_imagestack(""hard/peppers.png"", ""hard/pills.png"")","517.7510008811951"
"vague-forest-4173","sconf_imagestack(""hard/peppers.png"", ""hard/peppers.png"")","226.0669960975647"
"glamorous-fire-4172","sconf_imagestack(""hard/peppers.png"", ""hard/lena.png"")","316.7769992351532"
"dainty-forest-4171","sconf_imagestack(""hard/peppers.png"", ""hard/arch.png"")","302.30299949645996"
"firm-sun-4170","sconf_image(""hard/peppers.png"")","166.37499928474426"
"smooth-jazz-4169","sconf_imagestack(""hard/lena.png"", ""hard/water.png"")","201.568998336792"
"rich-lion-4168","sconf_imagestack(""hard/lena.png"", ""hard/rose.png"")","389.4399979114533"
"fiery-brook-4167","sconf_imagestack(""hard/lena.png"", ""hard/pills.png"")","349.7559952735901"
"true-sun-4166","sconf_imagestack(""hard/lena.png"", ""hard/peppers.png"")","292.7259991168976"
"swept-disco-4165","sconf_imagestack(""hard/lena.png"", ""hard/lena.png"")","281.7910010814667"
"iconic-sponge-4164","sconf_imagestack(""hard/lena.png"", ""hard/arch.png"")","321.193989276886"
"crisp-pond-4163","sconf_image(""hard/lena.png"")","155.95099997520447"
"resilient-vortex-4162","sconf_imagestack(""hard/arch.png"", ""hard/water.png"")","255.8949997425079"
"smart-totem-4161","sconf_imagestack(""hard/arch.png"", ""hard/rose.png"")","383.9009988307953"
"warm-glitter-4160","sconf_imagestack(""hard/arch.png"", ""hard/pills.png"")","419.4929983615875"
"revived-serenity-4159","sconf_imagestack(""hard/arch.png"", ""hard/peppers.png"")","305.16799807548523"
"rural-salad-4158","sconf_imagestack(""hard/arch.png"", ""hard/lena.png"")","307.3459966182709"
"driven-sunset-4157","sconf_imagestack(""hard/arch.png"", ""hard/arch.png"")","311.0569999217987"
"autumn-leaf-4156","sconf_image(""hard/arch.png"")","266.79799938201904"
"fast-thunder-4155","sconf_imagestack(""hard/water.png"", ""hard/water.png"")","241.27199602127075"
"hearty-cosmos-4154","sconf_imagestack(""hard/water.png"", ""hard/rose.png"")","383.54499864578247"
"pious-snowball-4153","sconf_imagestack(""hard/water.png"", ""hard/pills.png"")","506.5799987316131"
"exalted-spaceship-4152","sconf_imagestack(""hard/water.png"", ""hard/peppers.png"")","266.1010012626648"
"genial-wave-4151","sconf_imagestack(""hard/water.png"", ""hard/lena.png"")","281.0080006122589"
"serene-butterfly-4150","sconf_imagestack(""hard/water.png"", ""hard/arch.png"")","254.32699513435364"
"scarlet-bird-4149","sconf_image(""hard/water.png"")","121.88599681854248"
"wandering-pond-4148","sconf_imagestack(""hard/rose.png"", ""hard/water.png"")","347.52597975730896"
"revived-glitter-4147","sconf_imagestack(""hard/rose.png"", ""hard/rose.png"")","334.80099868774414"
"curious-breeze-4146","sconf_imagestack(""hard/rose.png"", ""hard/pills.png"")","340.5209991931915"
"light-music-4145","sconf_imagestack(""hard/rose.png"", ""hard/peppers.png"")","323.96699929237366"
"wild-donkey-4144","sconf_imagestack(""hard/rose.png"", ""hard/lena.png"")","445.91000056266785"
"usual-bird-4143","sconf_imagestack(""hard/rose.png"", ""hard/arch.png"")","364.8269982337952"
"unique-violet-4142","sconf_image(""hard/rose.png"")","297.1159999370575"
"fluent-leaf-4141","sconf_imagestack(""hard/pills.png"", ""hard/water.png"")","301.73499584198"
"stellar-disco-4140","sconf_imagestack(""hard/pills.png"", ""hard/rose.png"")","470.1640000343323"
"woven-shape-4139","sconf_imagestack(""hard/pills.png"", ""hard/pills.png"")","376.3769989013672"
"gallant-terrain-4138","sconf_imagestack(""hard/pills.png"", ""hard/peppers.png"")","386.8229992389679"
"graceful-night-4137","sconf_imagestack(""hard/pills.png"", ""hard/lena.png"")","358.15699911117554"
"hopeful-snow-4136","sconf_imagestack(""hard/pills.png"", ""hard/arch.png"")","326.6340010166168"
"proud-serenity-4135","sconf_image(""hard/pills.png"")","182.02400064468384"
"desert-elevator-4134","sconf_imagestack(""hard/peppers.png"", ""hard/water.png"")","335.69199895858765"
"clean-night-4133","sconf_imagestack(""hard/peppers.png"", ""hard/rose.png"")","232.56899905204773"
"lilac-vortex-4132","sconf_imagestack(""hard/peppers.png"", ""hard/pills.png"")","382.8869984149933"
"dutiful-fire-4131","sconf_imagestack(""hard/peppers.png"", ""hard/peppers.png"")","311.22500014305115"
"super-glitter-4130","sconf_imagestack(""hard/peppers.png"", ""hard/lena.png"")","225.75899982452393"
"rosy-breeze-4129","sconf_imagestack(""hard/peppers.png"", ""hard/arch.png"")","298.48799896240234"
"generous-oath-4128","sconf_image(""hard/peppers.png"")","113.63699913024902"
"electric-plant-4127","sconf_imagestack(""hard/lena.png"", ""hard/water.png"")","210.38900232315063"
"atomic-haze-4126","sconf_imagestack(""hard/lena.png"", ""hard/rose.png"")","266.3569996356964"
"fresh-silence-4125","sconf_imagestack(""hard/lena.png"", ""hard/pills.png"")","279.5209984779358"
"lilac-sponge-4124","sconf_imagestack(""hard/lena.png"", ""hard/peppers.png"")","245.01499962806705"
"decent-shadow-4123","sconf_imagestack(""hard/lena.png"", ""hard/lena.png"")","307.8989999294281"
"breezy-bird-4122","sconf_imagestack(""hard/lena.png"", ""hard/arch.png"")","280.60900020599365"
"distinctive-water-4121","sconf_image(""hard/lena.png"")","241.307998418808"
"smooth-cloud-4120","sconf_imagestack(""hard/arch.png"", ""hard/water.png"")","218.49799966812137"
"deep-disco-4119","sconf_imagestack(""hard/arch.png"", ""hard/rose.png"")","316.4649999141693"
"copper-gorge-4118","sconf_imagestack(""hard/arch.png"", ""hard/pills.png"")","499.8670012950897"
"iconic-puddle-4117","sconf_imagestack(""hard/arch.png"", ""hard/peppers.png"")","409.19499230384827"
"upbeat-shape-4116","sconf_imagestack(""hard/arch.png"", ""hard/lena.png"")","217.90599942207336"
"curious-leaf-4115","sconf_imagestack(""hard/arch.png"", ""hard/arch.png"")","341.2259991168976"
