"Name","Runtime","Notes","Tags","kernel_set","target_state","loss","loss0","step","total_seconds"
"fragrant-bush-4409","254","-","","kernel_neighbors()","sconf_image(""final/water.png"")","0.00989395659416914","0.00989395659416914","1874","252.3449990749359"
"wobbly-water-4408","136","-","","kernel_sobel()","sconf_image(""final/water.png"")","0.009887860156595709","0.009887860156595709","1435","133.31300139427185"
"zesty-music-4407","317","-","","kernel_neighbors()","sconf_image(""final/watch.png"")","0.009930565021932123","0.009930565021932123","2340","314.37499928474426"
"flowing-breeze-4406","77","-","","kernel_sobel()","sconf_image(""final/watch.png"")","0.009982983581721784","0.009982983581721784","802","74.19199657440186"
"avid-dew-4405","1002","-","","kernel_neighbors()","sconf_image(""final/stress.png"")","0.01748603582382202","0.01748603582382202","7540","1000.0629963874816"
"dutiful-dream-4404","102","-","","kernel_sobel()","sconf_image(""final/stress.png"")","0.00978220533579588","0.00978220533579588","1118","99.99900031089784"
"visionary-eon-4403","305","-","","kernel_neighbors()","sconf_image(""final/rose.png"")","0.009306073188781738","0.009306073188781738","2254","302.8809988498688"
"ruby-dream-4402","123","-","","kernel_sobel()","sconf_image(""final/rose.png"")","0.009838609956204891","0.009838609956204891","1296","120.42099809646606"
"clear-glitter-4401","553","-","","kernel_neighbors()","sconf_image(""final/pills.png"")","0.008501351810991764","0.008501351810991764","4074","550.2510008811951"
"wild-rain-4400","104","-","","kernel_sobel()","sconf_image(""final/pills.png"")","0.008575957268476486","0.008575957268476486","1117","101.75099849700928"
"easy-sound-4399","547","-","","kernel_neighbors()","sconf_image(""final/peppers.png"")","0.009928871877491474","0.009928871877491474","4078","544.1839997768402"
"effortless-shape-4398","137","-","","kernel_sobel()","sconf_image(""final/peppers.png"")","0.00966082327067852","0.00966082327067852","1485","134.92600178718567"
"peach-salad-4397","479","-","","kernel_neighbors()","sconf_image(""final/opera.png"")","0.009910696186125278","0.009910696186125278","3590","477.2569990158081"
"pleasant-deluge-4396","111","-","","kernel_sobel()","sconf_image(""final/opera.png"")","0.009521597996354105","0.009521597996354105","1196","108.67199778556824"
"playful-mountain-4395","245","-","","kernel_neighbors()","sconf_image(""final/newyork.png"")","0.00858983676880598","0.00858983676880598","1786","241.8499970436096"
"misty-silence-4394","150","-","","kernel_sobel()","sconf_image(""final/newyork.png"")","0.00948439259082079","0.00948439259082079","1614","148.12999892234802"
"stellar-bush-4393","637","-","","kernel_neighbors()","sconf_image(""final/machine.png"")","0.009476888924837112","0.009476888924837112","4719","635.1680021286011"
"rosy-gorge-4392","144","-","","kernel_sobel()","sconf_image(""final/machine.png"")","0.009531205520033836","0.009531205520033836","1568","141.42299890518188"
"hopeful-snow-4391","350","-","","kernel_neighbors()","sconf_image(""final/lena.png"")","0.009795275516808031","0.009795275516808031","2609","347.3819990158081"
"stellar-sound-4390","84","-","","kernel_sobel()","sconf_image(""final/lena.png"")","0.009846745990216732","0.009846745990216732","897","81.91899871826172"
"dazzling-river-4389","843","-","","kernel_neighbors()","sconf_image(""final/lake.png"")","0.00990410428494215","0.00990410428494215","6314","840.7050001621246"
