Trial number, Nucleation X, Nucleation Y, Min Loss 
9,0.25,0.0,0.0032919485
0,0.25,0.125,0.0027201027
1,0.25,0.125,0.0039593317
2,0.25,0.125,0.005813113
3,0.25,0.125,0.0047890064
4,0.25,0.125,0.0042103934
5,0.25,0.125,0.0034548675
6,0.25,0.125,0.0030562617
7,0.25,0.125,0.0047543375
8,0.25,0.125,0.002870012
9,0.25,0.125,0.009558834
0,0.25,0.25,0.0038119245
1,0.25,0.25,0.002312176
2,0.25,0.25,0.0042720847
3,0.25,0.25,0.0036191654
4,0.25,0.25,0.0030618906
5,0.25,0.25,0.0020353913
6,0.25,0.25,0.0020225903
7,0.25,0.25,0.0051045436
8,0.25,0.25,0.0026357782
9,0.25,0.25,0.0045179315
0,0.25,0.375,0.0029878076
1,0.25,0.375,0.00475884
2,0.25,0.375,0.00391233
3,0.25,0.375,0.0039998763
4,0.25,0.375,0.0034072716
5,0.25,0.375,0.0024947722
6,0.25,0.375,0.009163013
7,0.25,0.375,0.0031727885
8,0.25,0.375,0.004327734
9,0.25,0.375,0.010027766
0,0.25,0.5,0.0029385183
1,0.25,0.5,0.0024407485
2,0.25,0.5,0.009197155
3,0.25,0.5,0.0031998204
4,0.25,0.5,0.0024714882
5,0.25,0.5,0.0039565475
6,0.25,0.5,0.0030080632
7,0.25,0.5,0.0025693832
8,0.25,0.5,0.0044947625
9,0.25,0.5,0.0026117333
0,0.25,0.625,0.0045679975
1,0.25,0.625,0.004672058
2,0.25,0.625,0.0037997544
3,0.25,0.625,0.0072341138
4,0.25,0.625,0.0011695952
5,0.25,0.625,0.003517491
6,0.25,0.625,0.0041894014
7,0.25,0.625,0.0021892975
8,0.25,0.625,0.007803676
9,0.25,0.625,0.0042530484
0,0.25,0.75,0.0058380584
1,0.25,0.75,0.004973664
2,0.25,0.75,0.005738543
3,0.25,0.75,0.0037976366
4,0.25,0.75,0.004368884
5,0.25,0.75,0.005156573
6,0.25,0.75,0.0030480057
7,0.25,0.75,0.0053308695
8,0.25,0.75,0.0028270457
9,0.25,0.75,0.0024473602
