"Name","target_state","size","total_seconds"
"skilled-firebrand-4902","sconf_image(""hard/pills.png"")","60","6728.2539982795715"
"lyric-rain-4875","sconf_image(""hard/arch.png"")","60","3040.7099986076355"
"genial-mountain-4893","sconf_image(""hard/peppers.png"")","60","2956.18000292778"
"woven-lake-4920","sconf_image(""hard/water.png"")","60","2019.661999940872"
"cerulean-butterfly-4911","sconf_image(""hard/rose.png"")","60","2009.716998577118"
"dashing-puddle-4901","sconf_image(""hard/pills.png"")","50","1942.97199511528"
"helpful-surf-4910","sconf_image(""hard/rose.png"")","50","1675.8919994831083"
"snowy-universe-4928","sconf_image(""hard/arch.png"")","50","1358.8840427398682"
"clear-terrain-4884","sconf_image(""hard/lena.png"")","60","1268.517998933792"
"dauntless-gorge-4874","sconf_image(""hard/arch.png"")","50","1178.5439982414246"
"dark-monkey-4845","sconf_image(""hard/peppers.png"")","50","996.6139991283416"
"kind-blaze-4892","sconf_image(""hard/peppers.png"")","50","969.377997159958"
"grateful-wind-4836","sconf_image(""hard/lena.png"")","50","857.4549992084503"
"ruby-breeze-4919","sconf_image(""hard/water.png"")","50","752.8389999866486"
"honest-star-4883","sconf_image(""hard/lena.png"")","50","690.3799998760223"
"kind-bush-4927","sconf_image(""hard/arch.png"")","40","629.7929992675781"
"swept-brook-4862","sconf_image(""hard/rose.png"")","40","570.1779971122742"
"radiant-valley-4900","sconf_image(""hard/pills.png"")","40","544.7569983005524"
"gentle-puddle-4853","sconf_image(""hard/pills.png"")","40","537.8269994258881"
"decent-voice-4826","sconf_image(""hard/arch.png"")","40","507.54499888420105"
"lilac-butterfly-4909","sconf_image(""hard/rose.png"")","40","463.82799887657166"
"logical-yogurt-4891","sconf_image(""hard/peppers.png"")","40","440.7389962673187"
"clear-planet-4844","sconf_image(""hard/peppers.png"")","40","423.30899834632874"
"copper-pond-4873","sconf_image(""hard/arch.png"")","40","405.7549993991852"
"lyric-plant-4882","sconf_image(""hard/lena.png"")","40","382.39200091362"
"laced-tree-4835","sconf_image(""hard/lena.png"")","40","301.6419973373413"
"toasty-cherry-4918","sconf_image(""hard/water.png"")","40","275.4920017719269"
"wobbly-terrain-4872","sconf_image(""hard/arch.png"")","30","177.45999884605408"
